MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,         9.95,        10.00,        10.00,        10.00,        10.00,                    80000.00,8000, ,        10.10,         6.80
N,SM,AGUL,A G UNIVERSAL LIMITED,        68.95,        65.55,        65.55,        65.55,        65.55,                   131100.00,2000, ,        70.50,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        72.00,        71.25,        71.25,        70.10,        70.10,                   566320.00,8000, ,       105.00,        62.00
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       119.80,       125.75,       125.75,       122.00,       122.00,                   443700.00,3600, ,       182.00,        97.50
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        25.25,        24.00,        24.00,        24.00,        24.00,                    48000.00,2000, ,        26.00,        14.50
N,SM,ABHAPOWER,ABHA POWER N STEEL LTD,        36.90,        36.00,        36.95,        35.05,        36.55,                   401520.00,11200, ,        55.25,        26.45
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        40.00,        39.00,        39.00,        39.00,        39.00,                    58500.00,1500, ,        90.90,        36.70
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       197.15,       196.20,       201.00,       195.50,       199.40,                  3170100.00,16000, ,       259.00,        92.10
N,SM,ACCENTMIC,ACCENT MICROCELL LIMITED,       340.20,       340.00,       353.00,       336.65,       348.75,                 19587300.00,56500, ,       362.00,       180.00
N,ST,ACCPL,ACCRETION PHARMA LIMITED,        84.05,        86.40,        86.40,        84.00,        84.00,                  1531680.00,18000, ,       102.50,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       170.00,       171.00,       171.00,       171.00,       171.00,                   205200.00,1200, ,       190.00,       147.05
N,SM,AERON,AERON COMPOSITE LIMITED,       103.50,       102.00,       105.00,       102.00,       104.90,                  4155750.00,40000, ,       202.20,        89.05
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,        88.00,        87.00,        90.00,        87.00,        89.50,                  1146250.00,13000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        42.00,        42.05,        42.05,        42.05,        42.05,                    63075.00,1500, ,        73.00,        38.00
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       127.70,       127.05,       131.95,       127.05,       127.30,                  5568780.00,43200, ,       174.05,        81.00
N,SM,AGNI,AGNI GREEN POWER LTD,        23.25,        23.35,        23.35,        23.35,        23.35,                    58375.00,2500, ,        43.35,        17.90
N,ST,AIMTRON,AIMTRON ELECTRONICS LTD,       859.45,       845.00,       888.00,       830.00,       884.00,                 29036700.00,33600, ,      1040.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        69.00,        68.00,        69.00,        68.00,        68.25,                   616250.00,9000, ,       165.00,        67.05
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       260.00,       262.60,       262.60,       262.60,       262.60,                   210080.00,800, ,       299.30,        62.00
N,SM,ALCODIS,ALCOKRAFT DISTILLERIE LTD,        94.40,        94.40,        94.40,        94.40,        94.40,                    59000.00,625, ,       248.00,        90.60
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       214.75,       214.95,       219.60,       214.95,       219.30,                  2344700.00,10800, ,       538.80,       200.00
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,       817.55,       813.50,       827.90,       813.00,       825.30,                 15750795.00,19200, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        71.00,        69.20,        69.50,        69.20,        69.35,                   415875.00,6000, ,        95.80,        48.00
N,SM,AMEYA,AMEYA PRECISION ENG LTD,        99.95,       104.00,       104.90,       102.00,       102.00,                  1044700.00,10000, ,       127.25,        91.90
N,ST,AMCL,ANB METAL CAST LIMITED,       355.10,       347.10,       358.00,       345.50,       358.00,                 14201000.00,40800, ,       385.00,       161.70
N,SM,AISL,ANI INTEGRATED SERV LTD.,        84.50,        80.40,        80.50,        80.30,        80.50,                   481980.00,6000, ,       189.90,        77.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       409.00,       400.00,       400.00,       396.95,       396.95,                   478440.00,1200, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       194.85,       194.90,       197.85,       193.50,       194.30,                 30920612.50,159000, ,       441.00,       180.00
G,ST,ANONDITA,ANONDITA MEDICARE LIMITED,      1032.90,      1013.05,      1013.05,      1012.25,      1012.25,                 17220250.00,17000, ,      1037.45,       261.75
N,SM,APEXECO,APEX ECOTECH LIMITED,       131.00,       131.00,       131.00,       131.00,       131.00,                   104800.00,800, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       301.10,       302.60,       307.00,       300.00,       302.00,                  4537050.00,15000, ,       360.00,        86.50
N,SM,ARABIAN,ARABIAN PETROLEUM LIMITED,        71.00,        74.50,        74.50,        70.15,        73.75,                  1611800.00,22000, ,        92.95,        63.00
N,SM,ARCIIL,ARC INSULATION & INSU LTD,        66.50,        67.00,        67.00,        67.00,        67.00,                   268000.00,4000, ,       145.00,        63.00
N,ST,ARHAM,ARHAM TECHNOLOGIES LTD,       151.10,       155.00,       155.00,       151.00,       151.50,                  2291400.00,15000, ,       161.00,        70.80
N,SM,ARUNAYA,ARUNAYA ORGANICS LIMITED,        19.90,        20.20,        20.20,        19.90,        20.00,                   281800.00,14000, ,        46.50,        17.50
N,SM,ARVINDPORT,ARVIND PORT AND INFRA LTD,        39.65,        39.95,        41.60,        38.45,        41.60,                  1207275.00,30000, ,        92.25,        38.45
N,ST,ASCOM,ASCOM LEASIN & INVEST LTD,       126.50,       126.70,       128.00,       126.70,       128.00,                   318200.00,2500, ,       128.00,        76.55
N,ST,ASHWINI,ASHWINI CONTAINER MOVER L,       137.25,       138.00,       138.50,       137.75,       138.10,                  1517250.00,11000, ,       147.00,       127.90
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        15.50,        15.40,        16.20,        15.30,        16.20,                   186200.00,12000, ,        47.45,        15.30
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        37.45,        37.45,        37.95,        35.10,        36.60,                  1005480.00,27600, ,       115.35,        34.20
N,SM,ATMASTCO,ATMASTCO LIMITED,       133.30,       133.00,       135.00,       131.05,       131.95,                  2772200.00,20800, ,       300.80,       127.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        40.00,        40.55,        40.55,        39.25,        39.25,                   446640.00,11200, ,        86.50,        35.75
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       370.35,       368.50,       375.50,       368.00,       372.25,                  6585912.50,17750, ,       654.00,       345.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       116.50,       116.75,       117.25,       116.75,       117.25,                  2107250.00,18000, ,       122.00,        93.80
N,SM,AVPINFRA,AVP INFRACON LIMITED,       118.35,       118.10,       121.45,       118.10,       119.70,                  5248480.00,44000, ,       264.30,       118.00
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       120.00,       121.50,       122.25,       121.50,       122.25,                   390000.00,3200, ,       139.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        33.25,        33.90,        33.90,        31.35,        32.10,                   210000.00,6400, ,        63.50,        29.55
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       605.10,       617.00,       617.00,       607.00,       609.40,                 10973418.75,18000, ,       649.90,       328.10
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       143.50,       144.00,       144.00,       141.50,       141.50,                  1000250.00,7000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        75.60,        75.45,        75.45,        74.05,        74.60,                   745700.00,10000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       338.85,       333.65,       340.70,       333.65,       340.50,                  3359475.00,9900, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        42.95,        40.50,        44.00,        40.50,        42.35,                   650560.00,15200, ,        79.00,        35.00
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        85.20,        85.00,        85.75,        82.50,        84.45,                  1997000.00,24000, ,       104.90,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       121.35,       123.50,       124.00,       123.50,       123.75,                   371350.00,3000, ,       272.60,       110.40
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        73.70,        77.00,        79.50,        77.00,        77.70,                  1411680.00,18000, ,       128.85,        71.05
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        22.25,        22.25,        22.25,        21.55,        22.25,                  1566700.00,72000, ,        30.95,        13.65
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       125.05,       126.30,       144.80,       124.05,       124.60,                  1071660.00,8400, ,       370.85,        88.00
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       142.40,       152.00,       153.00,       147.50,       149.80,                  1197300.00,8000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        43.75,        43.75,        43.75,        43.75,        43.75,                    35000.00,800, ,        63.20,        38.10
N,SM,BOSS,BOSS PACKAGING SOLU LTD,        44.40,        46.55,        46.55,        44.50,        45.15,                   364000.00,8000, ,        56.30,        36.55
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        95.85,        95.95,        98.00,        94.00,        95.95,                  1390160.00,14400, ,       111.00,        69.00
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        60.00,        60.00,        60.00,        60.00,        60.00,                    72000.00,1200, ,       106.80,        50.55
N,ST,CPS,C P S SHAPERS LIMITED,      1154.00,      1154.00,      1200.00,      1154.00,      1185.00,                   704100.00,600, ,      1203.90,       412.00
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       470.10,       470.00,       482.00,       460.10,       476.55,                 32153445.00,68100, ,       954.00,       250.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        49.90,        52.35,        52.35,        52.35,        52.35,                    26175.00,500, ,       120.05,        35.60
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        30.15,        30.20,        30.20,        30.00,        30.00,                   361000.00,12000, ,        39.85,        23.50
N,SM,CUDML,CASH UR DRIVE MARKETING L,       137.00,       135.05,       135.05,       132.60,       132.85,                   801150.00,6000, ,       166.50,       130.00
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        58.00,        58.00,        60.90,        58.00,        60.90,                  1569900.00,26000, ,       136.30,        57.25
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        16.30,        16.45,        16.80,        16.35,        16.35,                   138480.00,8400, ,        28.25,        15.60
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        29.05,        29.20,        29.80,        28.85,        29.05,                  4023000.00,138000, ,        81.50,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       122.75,       126.00,       126.00,       118.25,       118.25,                  2551125.00,21000, ,       183.90,       111.60
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        50.85,        51.00,        51.00,        51.00,        51.00,                   306000.00,6000, ,        71.00,        36.10
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       316.60,       318.05,       320.00,       315.00,       316.50,                  7379320.00,23200, ,       358.00,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       123.35,       123.35,       123.50,       122.10,       123.50,                   615450.00,5000, ,       186.00,        82.10
N,SM,CSSL,CLEAR SECURED SERVICES L,       133.35,       133.50,       133.60,       129.00,       129.20,                  9956800.00,76000, ,       134.00,        96.75
N,SM,CONNPLEX,CONNPLEX CINEMAS LIMITED,       266.50,       269.00,       279.90,       269.00,       276.75,                 13397360.00,48800, ,       292.70,       177.00
