SECURITY,NEW,PREVIOUS,NEW_STATUS
ARFIN INDIA LIMITED           ,75.11,75.00,H
AXISAMC - AXISVALUE           ,32.32,32.10,H
BELRISE INDUSTRIES LTD        ,190.10,186.40,H
CHOICE INTERNATIONAL LTD      ,852.40,846.00,H
CHOLAMANDALAM IN & FIN CO     ,1789.10,1782.00,H
CRAFTSMAN AUTOMATION LTD      ,8050.00,7837.00,H
CSB BANK LIMITED              ,489.90,488.80,H
DHARIWALCORP LIMITED          ,374.90,371.30,H
DIVINE HIRA JEWELLERS LTD     ,239.20,239.00,H
DSPAMC - DSPPSBKETF           ,87.95,87.47,H
DSPAMC - NEXT30ADD            ,41.51,41.12,H
DSPAMC - SMALLADD             ,16.99,16.98,H
E TO E TRANS INFRA LTD        ,347.10,174.00,H
EXIM ROUTES LIMITED           ,160.35,152.75,H
ICICIPRAMC - METALIETF        ,11.75,11.44,H
ICICIPRAMC - PSUBANKICI       ,88.40,88.31,H
INFOBEANS TECHNO. LTD.        ,922.85,875.00,H
KANDARP DG SMART BPO LTD      ,150.00,146.45,H
KSH INTERNATIONAL LIMITED     ,382.00,370.25,H
LUMAX AUTO TECH LTD           ,1664.80,1650.00,H
MAHAMAYA STEEL INDS LTD       ,1032.00,1031.00,H
MAHINDRA & MAHINDRA LTD       ,3812.00,3795.00,H
MANAPPURAM FINANCE LTD        ,319.40,318.90,H
MARUTI SUZUKI INDIA LTD.      ,16999.00,16818.00,H
MIRAEAMC - BANKETF            ,611.15,610.16,H
MIRAEAMC - DIVIDEND           ,37.01,36.80,H
MIRAEAMC - EQUAL50            ,339.17,336.67,H
MIRAEAMC - MAN50ETF           ,289.05,285.23,H
MOTILALAMC - MOMNC            ,31.11,30.50,H
MOTILALAMC - MOVALUE          ,119.11,117.58,H
NIPPONAMC - NETFAUTO          ,297.00,293.00,H
NORBEN TEA &EXPORTS LTD       ,99.35,97.41,H
QUANTUM NIFTY 50 ETF          ,2895.00,2884.51,H
RHETAN TMT LIMITED            ,25.85,25.35,H
S.A.L. STEEL LTD.             ,45.12,44.24,H
SANSERA ENGINEERING LTD       ,1889.80,1794.80,H
SENORES PHARMACEUTICALS L     ,869.00,849.10,H
SG MART LIMITED               ,397.20,389.75,H
SHREEJI SHIPPING GLOBAL L     ,379.50,379.00,H
SHRINGAR HOU OF MANGALS L     ,243.40,239.85,H
SHRIRAM PIST. & RING LTD      ,3348.80,3297.80,H
SILVER TOUCH TECHNO LTD       ,1320.00,1123.00,H
SJS ENTERPRISES LIMITED       ,1869.00,1814.00,H
SUNLITE RECYCLING IND LTD     ,341.60,328.00,H
SWAN DEFENCE N HEVY IND L     ,1530.40,1457.60,H
TATA CAPITAL LIMITED          ,361.80,355.00,H
TATA MOTORS LIMITED           ,448.00,432.30,H
TENNECO CLEAN AIR INDIA L     ,549.00,523.95,H
TORRENT PHARMACEUTICALS L     ,3891.20,3882.20,H
TVS MOTOR COMPANY  LTD        ,3897.50,3799.90,H
WEALTH - TWCGOLDETF           ,134.24,138.24,H
ASPIRE & INNOVATIVE ADV L     ,15.30,15.50,L
DHARA RAIL PROJECTS LTD       ,142.20,142.60,L
DHARAN INFRA-EPC LIMITED      ,0.21,0.22,L
E TO E TRANS INFRA LTD        ,314.20,174.00,L
EPW INDIA LIMITED             ,108.65,110.75,L
JARO INS OF TEC MG N RE L     ,456.35,460.80,L
JYOTI GLOBAL PLAST LTD        ,40.05,45.30,L
LG ELECTRONICS INDIA LTD      ,1460.10,1481.00,L
MARC TECHNOCRATS LIMITED      ,53.30,54.85,L
MITTAL LIFE STYLE LIMITED     ,1.11,1.12,L
NEOCHEM BIO SOLUTIONS LTD     ,84.25,85.00,L
PATEL RETAIL LIMITED          ,195.96,197.00,L
SHYAM DHANI INDUSTRIES L      ,119.80,126.10,L
SNEHAA ORGANICS LIMITED       ,59.65,67.00,L
SUDEEP PHARMA LIMITED         ,587.00,596.65,L
SUNDREX OIL COMPANY LTD       ,56.10,59.05,L
VEDANT FASHIONS LIMITED       ,572.05,574.00,L
VINEET LABORATORIES LTD       ,2.45,4.07,L
VISHNU PRAKASH R PUNGLI L     ,49.19,49.50,L
WEALTH - TWCGOLDETF           ,130.43,138.24,L
