MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,         9.72,         9.76,         9.98,         9.51,         9.57,                   942184.68,97782,367,        10.50,         9.51,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.94,        12.06,        12.06,        11.92,        11.96,                  2852977.95,238642,2350,        12.49,         9.63,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       282.72,       287.50,       287.50,       279.73,       286.54,                101204754.89,354177,5673,       293.00,       197.07,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        28.29,        27.58,        28.73,        27.58,        28.63,                 15159048.03,530438,1816,        29.06,        19.72,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       604.32,       604.32,       609.30,       604.32,       609.30,                   806897.85,1331,21,       623.45,       485.00,NIFTY BANK
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        13.11,        13.09,        13.23,        13.03,        13.09,                   229977.48,17550,303,        14.50,        12.00,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISCETF,AXISAMC - AXISCETF,       124.84,       126.71,       127.14,       124.00,       124.71,                   543772.81,4339,50,       131.85,       101.00,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       113.87,       113.05,       113.05,       110.01,       111.68,                185768020.30,1664830,6976,       117.50,        64.06,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       148.32,       148.15,       148.94,       146.67,       148.21,                   630608.37,4269,82,       156.13,       127.43,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       228.70,       228.70,       230.39,       218.20,       228.37,                420930402.44,1869804,13156,       247.38,        85.51,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       284.83,       289.97,       289.97,       283.92,       285.91,                350457766.23,1226907,845,       296.36,       236.80,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       416.57,       415.50,       416.00,       413.83,       414.16,                  1462519.11,3527,53,       475.80,       341.00,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        30.90,        30.79,        31.41,        30.79,        31.13,                   745487.13,24013,93,        32.10,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        87.31,        87.51,        87.98,        86.70,        87.47,                   106345.82,1217,59,        91.35,        74.00,AXIS S&P BSE SENSEX ETF
N,EQ,BANKADD,DSPAMC - DSPBANK,        60.06,        60.36,        60.45,        59.93,        60.29,                 43692069.70,723671,189,        61.84,        46.50,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       607.35,       608.98,       612.30,       605.75,       611.56,                612080637.69,1004739,15803,       624.70,       490.00,NIFTY BANK
N,EQ,BANKBETA,UTIAMC-BANKBETA,        60.70,        61.14,        61.14,        60.49,        60.89,                  1904039.23,31301,280,        63.10,        48.71,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        59.65,        59.51,        60.00,        59.45,        59.85,                  2745093.62,45887,286,        65.00,        47.00,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       597.73,       600.48,       601.30,       595.56,       599.75,                   859368.69,1437,66,       610.16,       481.38,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        60.20,        60.52,        60.66,        60.07,        60.58,                 24714637.27,409793,1050,        62.88,        47.53,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,       608.20,       607.69,       612.66,       607.23,       611.14,                  5752739.32,9439,332,       651.60,       490.15,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        83.22,        82.63,        84.77,        82.61,        84.59,                  2512545.14,29916,86,        88.74,        55.29,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1309.05,      1314.04,      1314.04,      1308.59,      1310.50,                  1545037.85,1179,36,      1323.24,      1211.58,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        59.41,        59.33,        59.49,        58.89,        59.31,                    18334.44,309,31,        62.00,        47.43,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       132.65,       138.60,       138.60,       125.55,       130.05,                 19652291.15,151203,209,       140.00,        73.55,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        28.30,        28.44,        28.44,        28.15,        28.33,                352351722.64,12481694,808,        29.38,        22.30,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        40.05,        40.26,        40.28,        39.88,        40.03,                  1520910.91,38008,685,        41.51,        33.00,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       120.59,       119.00,       119.00,       115.37,       118.30,                192019062.11,1623285,1961,       125.99,        66.45,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        30.15,        29.80,        30.90,        29.80,        30.16,                  8825172.41,292805,3625,        31.18,        20.37,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        84.66,        85.97,        85.97,        84.29,        85.05,                   453656.87,5343,109,        87.82,        61.64,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1043.11,      1043.11,      1043.28,      1043.11,      1043.27,                102181909.90,97943,29,      1064.57,      1001.47,BSE LIQUID RATE INDEX
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        28.98,        29.70,        29.70,        28.50,        28.81,                  5163751.28,179646,1165,        30.00,        27.65,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       135.79,       135.79,       135.79,       131.68,       133.22,                 26745872.27,201702,561,       138.67,       120.00,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,        94.45,        94.45,        95.19,        94.21,        94.95,                 10230992.08,108129,4568,        96.83,        75.61,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,       124.97,       124.97,       124.97,       124.46,       124.94,                   110916.29,889,31,       132.00,       102.46,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       135.24,       136.75,       136.75,       134.66,       135.17,                  8873213.69,65687,1010,       144.38,       110.86,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        11.83,        11.87,        11.87,        11.74,        11.79,                   968913.16,82232,404,        13.97,         9.00,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       125.52,       126.01,       126.10,       125.25,       125.79,                  1267955.81,10086,303,       133.81,       101.23,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,        90.27,        91.00,        91.03,        89.98,        90.32,                 78361969.20,868872,6024,        96.16,        74.90,CPSE ETF
N,EQ,DIVIDEND,MIRAEAMC - DIVIDEND,        35.91,        36.80,        36.80,        35.84,        36.02,                   255927.75,7118,98,        36.80,        35.31,BSE 500 DIVIDEND LEADERS
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        82.79,        83.98,        83.98,        82.62,        83.03,                  3516865.47,42408,692,        85.74,        68.30,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        59.20,        59.20,        60.08,        59.18,        60.04,                   228769.73,3822,36,        62.10,        47.00,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1559.39,      1564.88,      1564.88,      1557.04,      1558.52,                 16004296.08,10261,398,      1608.27,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1393.63,      1397.99,      1397.99,      1391.55,      1393.84,                 14455120.19,10374,138,      1410.12,      1284.56,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1274.54,      1274.54,      1274.89,      1272.60,      1273.01,                  7029371.93,5519,77,      1305.17,      1178.70,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        23.97,        24.08,        24.08,        23.75,        23.86,                  1001413.89,41979,296,        26.77,        17.13,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       137.20,       136.20,       136.65,       133.50,       134.30,                342662859.15,2551359,1138,       145.00,        77.00,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1012.24,      1012.40,      1012.40,      1012.40,      1012.40,                   506200.00,500,1,      1026.47,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.73,        16.73,        16.75,        16.61,        16.74,                    94280.80,5637,69,        19.20,        15.89,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        41.53,        41.54,        42.21,        41.00,        41.63,                  2384540.47,57685,485,        48.00,        34.71,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        34.98,        35.15,        35.15,        34.75,        34.95,                 34448168.38,985621,414,        40.00,        34.03,NIFTY ENERGY
N,EQ,ENIFTY,EDELAMC - ENIFTY,        25.99,        25.93,        26.00,        25.86,        25.89,                    37904.73,1463,22,        27.22,        25.65,NIFTY 50 TRI
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.37,        13.37,        13.37,        13.29,        13.37,                  1575231.48,118427,88,        13.96,        11.03,BSE 200 EQUAL WEIGHT
N,EQ,EQUAL50,MIRAEAMC - EQUAL50,       332.39,       332.00,       332.69,       332.00,       332.69,                    19590.85,59,3,       336.25,       303.44,NIFTY50 EQUAL WEIGHT
N,EQ,EQUAL50ADD,DSPAMC - DSPNEWETF,       342.67,       343.13,       343.13,       341.56,       342.76,                  1323039.13,3862,103,       351.10,       280.01,NIFTY 50 EQUAL WEIGHT INDEX
N,EQ,ESENSEX,EDELAMC - ESENSEX,        84.83,        84.78,        84.94,        84.67,        84.67,                   145718.72,1721,6,        88.05,        83.62,BSE SENSEX TRI
N,EQ,ESG,MIRAEAMC - MAESGETF,        44.15,        44.15,        44.20,        44.00,        44.17,                   208189.29,4721,72,        44.97,        36.00,NIFTY100 ESG SECTOR LEADERS
N,EQ,ESILVER,EDELAMC - ESILVER,       230.43,       229.43,       230.00,       219.01,       225.80,                 77213492.18,344633,2885,       252.00,        86.27,EDELWEISS SILVER ETF
N,EQ,EVIETF,ICICIPRAMC - EVIETF,        31.19,        30.41,        31.43,        30.41,        31.31,                  2421074.07,77355,351,        33.75,        23.56,NIFTY EV & NEW AGE AUTOMOTIVE ETF
N,EQ,EVINDIA,MIRAEAMC - EVINDIA,        31.23,        30.44,        31.40,        30.44,        31.29,                  3286796.95,105186,1196,        32.30,        23.83,NIFTY EV AND NEW AGE AUTOMOTIVE TOTAL RETURN INDEX
N,EQ,FINIETF,ICICIPRAMC-ICICIFIN,        32.37,        32.38,        32.38,        32.07,        32.27,                357683647.09,11099647,1572,        33.66,        24.13,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF
N,EQ,FLEXIADD,DSPAMC - FLEXIADD,        10.66,        10.72,        10.87,        10.60,        10.60,                  1464483.50,137912,387,        11.90,        10.48,NIFTY500 FLEXICAP QUALITY 30 TRI
N,EQ,FMCGIETF,ICICIPRAMC - ICICIFMCG,        58.89,        58.89,        59.09,        58.66,        58.78,                 34720634.91,590807,6040,        62.30,        53.00,NIFTY FMCG INDEX
N,EQ,GILT10BETA,UTIAMC-GILT10BETA,        26.23,        26.37,        26.37,        25.86,        26.06,                   113928.21,4372,47,        26.83,        24.22,UTI NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GILT5BETA,UTIAMC-GILT5BETA,        63.69,        63.13,        63.68,        63.13,        63.68,                     1652.38,26,2,        65.00,        58.85,UTI NIFTY 5 YR BENCHMARK G-SEC ETF
N,EQ,GILT5YBEES,RELCAPAMC - NETFGILT5Y,        63.49,        64.40,        64.40,        63.40,        63.49,                  5687174.04,89623,318,        71.00,        57.60,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,GOLD1,KOTAK GOLD ETF,       113.47,       110.63,       113.47,       110.63,       111.63,                517887023.38,4635131,10175,       116.59,        64.17,GOLD
N,EQ,GOLD360,360ONEAMC - GOLD360,       132.95,       132.95,       132.95,       130.00,       131.30,                 43857714.20,334027,498,       140.00,        78.20,COMMODITY-GOLD
N,EQ,GOLDADD,DSPAMC - DSPGOLD,       133.05,       132.00,       134.22,       129.62,       130.45,                 46863733.79,359269,1400,       135.13,        74.24,DSP GOLD ETF
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,       113.03,       111.78,       117.00,       110.10,       111.17,               6148179802.05,55356981,168811,       117.00,        63.63,GOLD
N,EQ,GOLDBETA,UTIAMC-UTIGOLDBETA,       115.20,       114.20,       118.50,       112.25,       113.00,                105401079.90,933038,7079,       119.00,        64.35,GOLD
N,EQ,GOLDBND,BANDHANAMC - GOLDBND,       135.23,       133.33,       135.61,       133.33,       134.39,                   393655.57,2925,79,       143.87,       127.96,COMMODITY - GOLD
N,EQ,GOLDCASE,ZERODHAAMC - GOLDCASE,        21.59,        22.23,        22.23,        20.99,        21.14,                368080456.70,17443836,18595,        22.38,        11.25,ZERODHA GOLD ETF
N,EQ,GOLDETF,MIRAEAMC - MAGOLDETF,       132.67,       129.35,       132.00,       129.24,       130.71,                194140655.84,1488526,8481,       139.89,        74.61,MIRAE ASSET GOLD ETF
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,       117.35,       114.41,       116.35,       114.00,       114.84,               1211161062.39,10548171,37742,       120.85,        65.61,GOLD
N,EQ,GROWWCAPM,GROWWAMC - GROWWCAPM,         9.78,         9.98,         9.98,         9.67,         9.69,                  1566486.48,161117,783,        11.78,         9.41,NIFTY CAPITAL MARKETS INDEX
N,EQ,GROWWDEFNC,GROWWAMC - GROWWDEFNC,        77.26,        77.64,        77.65,        76.04,        76.45,                 23299471.35,304225,2891,        93.89,        49.83,NIFTY INDIA DEFENCE INDEX- TOTAL RETURN INDEX
N,EQ,GROWWEV,GROWWAMC - GROWWEV,        31.03,        30.86,        31.22,        30.86,        31.06,                  8865150.07,285139,1290,        32.24,        23.00,NIFTY EV AND NEW AGE AUTOMOTIVE INDEX
N,EQ,GROWWGOLD,GROWWAMC - GROWWGOLD,       133.88,       130.53,       132.43,       130.50,       131.55,                 66733336.02,507972,8494,       136.29,        74.95,COMMODITY
N,EQ,GROWWLIQID,GROWWAMC - GROWWLIQID,       107.23,       107.24,       107.25,       107.24,       107.24,                151764302.67,1415168,280,       107.55,        99.70,NIFTY 1D RATE INDEX
N,EQ,GROWWLOVOL,GROWWAMC - GROWWLOVOL,        10.69,        10.49,        10.85,        10.49,        10.75,                   309672.60,28899,147,        11.50,         9.00,NIFTY 500 LOW VOLATILITY 50 INDEX   TRI
N,EQ,GROWWMC150,GROWWAMC - GROWWMC150,       220.50,       220.50,       221.72,       220.50,       220.56,                   227602.76,1029,38,       227.50,       215.48,NIFTY MIDCAP 150 INDEX - TRI
N,EQ,GROWWMETAL,GROWWAMC - GROWWMETAL,        10.23,        10.53,        10.70,        10.03,        10.51,                 13429753.69,1290327,2207,        11.25,        10.03,NIFTY METAL INDEX
N,EQ,GROWWMOM50,GROWWAMC - GROWWMOM50,        10.61,        10.60,        10.61,        10.45,        10.53,                  2342387.41,222864,920,        12.00,         9.11,NIFTY 500 MOMENTUM 50 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWN200,GROWWAMC - GROWWN200,        11.68,        11.73,        11.75,        11.61,        11.62,                   770980.56,66198,430,        12.45,         9.00,NIFTY 200 INDEX- TOTAL RETURN INDEX
N,EQ,GROWWNET,GROWWAMC - GROWWNET,        10.53,        10.68,        10.68,        10.33,        10.38,                  1950178.96,187418,897,        12.14,         9.17,INDEX
N,EQ,GROWWNIFTY,GROWWAMC - GROWWNIFTY,        10.42,        10.49,        10.49,        10.36,        10.44,                  3543236.71,339662,1539,        11.00,         9.50,NIFTY 50 INDEX - TRI
N,EQ,GROWWNXT50,GROWWAMC - GROWWNXT50,        68.68,        69.34,        69.35,        68.12,        68.69,                   533131.53,7779,139,        72.25,        64.00,INDEX
N,EQ,GROWWPOWER,GROWWAMC - GROWWPOWER,         9.68,         9.65,         9.79,         9.50,         9.70,                  3287075.18,340099,1171,        11.30,         9.43,BSE POWER INDEX - TRI
N,EQ,GROWWRAIL,GROWWAMC - GROWWRAIL,        35.57,        35.88,        36.20,        35.00,        35.38,                 36270336.73,1028692,4154,        43.66,        28.72,NIFTY INDIA RAILWAYS PSU INDEX
N,EQ,GROWWRLTY,GROWWAMC - GROWWRLTY,         9.82,         9.82,        10.07,         9.69,         9.72,                  1311776.45,134805,443,        11.30,         9.52,INDEX
N,EQ,GROWWSC250,GROWWAMC - GROWWSC250,         9.54,         9.36,         9.74,         9.36,         9.48,                  1106910.91,116406,535,        10.47,         9.17,NIFTY SMALLCAP 250 INDEX - TRI
N,EQ,GROWWSLVR,GROWWAMC - GROWWSLVR,       227.23,       227.00,       237.69,       217.00,       224.68,                457904174.60,2047036,21466,       256.58,        94.20,COMMODITY-SILVER
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       259.50,       258.43,       258.60,       258.43,       258.60,                   186450.09,721,10,       265.36,       238.55,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        29.71,        29.62,        29.70,        29.50,        29.70,                    49004.23,1651,24,        31.00,        27.26,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        63.70,        63.70,        63.87,        63.61,        63.85,                   286249.82,4489,35,        66.70,        58.01,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        38.06,        38.28,        38.29,        37.70,        37.79,                   671503.55,17721,196,        39.55,        31.14,HDFC S&P BSE 500 ETF
N,EQ,HDFCGOLD,HDFC GOLD ETF,       116.87,       114.00,       115.93,       113.86,       114.94,                922236290.49,8039206,17407,       120.90,        65.61,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       128.74,       128.75,       130.31,       128.66,       129.59,                  5680386.66,44069,137,       132.88,       103.11,HDFC NIFTY GROWTH SECTORS 15 ETF
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,      1042.08,      1042.21,      1042.25,      1042.21,      1042.24,                  8974561.77,8611,39,      1045.47,       990.00,HDFC NIFTY 1D RATE LIQUID ETF
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        21.48,        21.48,        21.50,        21.35,        21.40,                    72605.18,3387,79,        23.00,        17.70,HDFC NIFTY100 LOW VOLATILITY 30 ETF
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        22.32,        22.41,        22.41,        22.20,        22.22,                  8120275.60,364853,1365,        23.35,        17.51,HDFC NIFTY MIDCAP 150 ETF
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        31.23,        31.31,        31.56,        31.08,        31.42,                  9837400.61,313935,866,        33.99,        25.50,HDFC NIFTY200 MOMENTUM 30 ETF
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        69.73,        70.11,        70.11,        69.42,        69.95,                  6873222.68,98467,622,        73.00,        57.00,HDFC NIFTY NEXT 50 ETF
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        27.28,        27.32,        27.41,        27.11,        27.19,                   280346.88,10287,252,        29.00,        21.15,HDFC NIFTY 100 ETF
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,        60.35,        60.65,        60.80,        60.20,        60.66,                  7687099.46,127133,359,        62.30,        48.51,NIFTY BANK
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,        40.35,        40.35,        40.67,        40.02,        40.05,                   951234.87,23664,226,        46.65,        32.24,HDFC NIFTY IT ETF
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       290.05,       291.34,       291.34,       288.20,       290.36,                 15146035.74,52276,747,       301.88,       240.55,NIFTY 50
N,EQ,HDFCPSUBK,HDFCAMC HDFCPSUBK,        83.32,        83.95,        85.12,        82.71,        84.85,                  4650028.53,55171,173,        88.56,        55.68,HDFC NIFTY PSU BANK ETF
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,        28.84,        28.99,        28.99,        28.72,        28.93,                  1901450.66,65954,374,        29.97,        23.66,HDFC NIFTY PRIVATE BANK ETF
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        60.25,        60.55,        60.55,        59.26,        59.96,                   932007.89,15577,269,        60.98,        49.53,HDFC NIFTY100 QUALITY 30 ETF
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,        95.30,        95.65,        95.68,        94.99,        95.56,                  3051470.70,32017,421,        98.48,        80.55,SENSEX
N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,       220.65,       220.00,       220.49,       212.10,       219.21,               3210317902.28,14765960,54269,       243.45,        83.39,HDFC SILVER ETF
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       166.17,       166.21,       166.81,       165.08,       165.93,                165106264.04,996333,7308,       186.65,       135.21,HDFC NIFTY SMALLCAP 250 ETF
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       139.34,       139.17,       139.59,       138.74,       139.51,                   425769.79,3061,49,       143.11,       117.50,HDFC NIFTY50 VALUE 20 ETF
N,EQ,HEALTHADD,DSPAMC - HEALTHADD,       147.00,       147.00,       147.14,       145.85,       146.77,                   309431.85,2112,33,       152.22,       126.98,DSP NIFTY HEALTHCARE ETF
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       149.43,       149.43,       149.98,       147.84,       149.06,                  9053302.67,60958,1494,       157.70,       128.14,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        14.99,        14.61,        15.04,        14.61,        14.91,                  3533720.73,237044,2694,        16.25,        12.20,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       494.08,       494.99,       501.00,       491.09,       497.47,                 50804354.20,101847,4330,       579.92,       309.05,HANG SENG INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,       116.34,       117.64,       117.64,       115.98,       116.87,                 68834096.40,590660,2140,       118.76,        93.02,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       284.69,       284.69,       285.95,       283.30,       284.58,                   901137.28,3174,73,       340.80,       235.01,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       980.25,       980.00,       985.87,       975.57,       978.60,                  8531038.90,8703,479,      1012.71,       783.98,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        97.60,        97.79,        97.98,        96.64,        97.18,                  9538872.14,97943,5617,       101.00,        77.65,ICICI PRUDENTIAL NIFTY INFRASTRUCTURE ETF
N,EQ,INTERNET,MIRAEAMC - INTERNET,        14.18,        14.11,        14.13,        13.97,        14.03,                  1087001.79,77465,349,        16.12,        13.30,EQUITY INDEX
N,EQ,IT,KOTAKMAMC - KOTAKIT,        41.95,        42.69,        42.69,        41.56,        41.68,                  6097643.84,146164,817,        48.48,        32.55,NIFTY IT INDEX
N,EQ,ITADD,DSPAMC - DSPIT,        40.00,        40.75,        40.75,        39.72,        39.79,                  1840064.60,46051,71,        47.57,        32.61,DSP NIFTY IT ETF
N,EQ,ITBEES,NIP IND ETF IT,        41.98,        41.35,        42.38,        41.35,        41.76,                267984814.90,6405178,12884,        48.33,        33.63,NIFTY IT TRI
N,EQ,ITBETA,UTIAMC-ITBETA,       397.75,       396.22,       397.68,       395.02,       395.40,                   338192.99,855,22,       469.99,       325.00,UTI NIFTY IT ETF
N,EQ,ITETF,MIRAEAMC - ITETF,        40.10,        40.51,        40.51,        39.70,        39.77,                 92859337.30,2329772,733,        46.00,        31.70,MIRAE ASSET NIFTY IT ETF
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        41.97,        42.33,        42.33,        41.53,        41.66,                110053415.08,2634086,4827,        49.05,        33.43,NIFTY IT INDEX
