MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        60.11,        60.10,        60.50,        59.97,        60.44,                  3300974.51,54868,216,        62.22,        47.55,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,       999.99,       999.99,      1000.01,       999.99,       999.99,                   345999.07,346,13,      1030.00,       999.99,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        71.93,        71.50,        72.68,        71.30,        71.87,                 11411993.82,158579,256,        75.45,        58.37,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.01,        10.01,        10.11,         9.93,         9.98,                  1214042.28,121830,569,        10.90,         8.00,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        48.18,        48.18,        48.87,        47.46,        48.14,                 93736098.33,1954883,7475,        55.67,        39.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        24.79,        25.08,        25.08,        24.59,        24.72,                 11742349.04,475419,1604,        27.15,        19.61,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        27.77,        27.77,        27.88,        27.60,        27.74,                  7747318.20,279723,1208,        29.69,        24.00,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        12.78,        12.64,        12.69,        12.42,        12.51,                 11310419.50,902053,2842,        13.50,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1040.54,      1040.68,      1040.70,      1040.68,      1040.68,                 14841288.49,14261,112,      1060.00,       908.58,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,        10.65,        10.75,        10.75,        10.54,        10.62,                  2812415.88,265258,1831,        12.00,         9.47,NIFTY 50 INDEX
