Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
02 JAN 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,02 JAN 2026,              10.00,          14926261,           1309.20,    19541460901.20   
02 JAN 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,02 JAN 2026,              10.00,          23989020,            348.75,     8366170725.00 
02 JAN 2026,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,26 DEC 2025,              10.00,           3472000,             29.00,      100688000.00    
02 JAN 2026,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,02 JAN 2026,              10.00,          11116000,             84.00,      933744000.00     
02 JAN 2026,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,02 JAN 2026,               1.00,         150560000,              5.80,      873248000.00  
02 JAN 2026,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,02 JAN 2026,               2.00,         119083196,            976.80,   116320465852.80       
02 JAN 2026,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,02 JAN 2026,              10.00,          10200000,             22.75,      231948000.00  
02 JAN 2026,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,02 JAN 2026,               2.00,         123458394,            562.70,    69470038303.80       
02 JAN 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,02 JAN 2026,              10.00,          92172140,             67.00,     6177376822.80       
02 JAN 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,02 JAN 2026,               2.00,         605971804,            240.45,   145718039707.90 
02 JAN 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,02 JAN 2026,               5.00,          15015016,            171.00,     2567567736.00
02 JAN 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,02 JAN 2026,               5.00,          81871122,           1749.30,   143217153714.60   
02 JAN 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,02 JAN 2026,              10.00,        1201282642,           1057.90,  1270836906971.80
02 JAN 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,02 JAN 2026,               1.00,        1154180729,           2279.80,  2631301225974.20  
02 JAN 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,02 JAN 2026,              10.00,        1647176155,           1038.80,  1711086589814.00
02 JAN 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,02 JAN 2026,               2.00,        2160138945,           1489.50,  3217526958577.50
02 JAN 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,02 JAN 2026,               2.00,       19284694705,            148.15,  2857413214439.85
02 JAN 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,02 JAN 2026,               2.00,         109863595,            204.10,    22422061103.55  
02 JAN 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,02 JAN 2026,              10.00,           5566250,             79.25,      441013987.50       
02 JAN 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,02 JAN 2026,              10.00,          17402815,           1037.70,    18058901125.50      
02 JAN 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,02 JAN 2026,              10.00,          54177208,             10.15,      548815117.05
02 JAN 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,02 JAN 2026,               5.00,          56514128,            155.45,     8785686338.90      
02 JAN 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,02 JAN 2026,              10.00,          64285720,            121.25,     7795286407.20   
02 JAN 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,02 JAN 2026,               2.00,          92438500,             58.10,     5368828080.00
02 JAN 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,02 JAN 2026,              10.00,          53942887,            235.55,    12705168175.10 
02 JAN 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,02 JAN 2026,               2.00,         111926800,            302.15,    33818682620.00
02 JAN 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,02 JAN 2026,               1.00,         351000000,            726.15,   254878650000.00  
02 JAN 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,02 JAN 2026,              10.00,        1107991489,            248.80,   275690442293.00
02 JAN 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,02 JAN 2026,              10.00,         670665635,            137.35,    92129338279.95     
02 JAN 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,02 JAN 2026,               2.00,         129320370,            197.55,    25549825500.90  
02 JAN 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,02 JAN 2026,              10.00,          17020000,            104.90,     1785398000.00     
02 JAN 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,02 JAN 2026,              10.00,          17220175,             89.50,     1541205662.50 
02 JAN 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,02 JAN 2026,              10.00,         132612818,            944.10,   125199761473.80    
02 JAN 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,02 JAN 2026,              10.00,         367784631,            390.85,   143748623026.35    
02 JAN 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,02 JAN 2026,               2.00,         140695134,           1782.70,   250817215381.80     
02 JAN 2026,AFFORDABLE,EQ,AFFORD ROBO & AUTO LTD   ,Listed    ,02 JAN 2026,              10.00,          11246266,            208.80,     2347995415.50
02 JAN 2026,AFIL,EQ,AKME FINTRADE (INDIA) LTD,Listed    ,02 JAN 2026,               1.00,         426749960,              6.40,     2739734743.20      
02 JAN 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,02 JAN 2026,               2.00,          50658840,            202.40,    10254362392.80      
02 JAN 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,02 JAN 2026,              10.00,          14957789,            720.05,    10770355969.45   
02 JAN 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,02 JAN 2026,               1.00,         316470002,            501.95,   158852117503.90
02 JAN 2026,AGARWALFT,SM,AGARWAL FLOAT GLASS I LTD,Listed    ,02 JAN 2026,              10.00,           7243488,             42.05,      304588670.40 
02 JAN 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,02 JAN 2026,              10.00,          17674600,            127.30,     2249976580.00
02 JAN 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,02 JAN 2026,               2.00,          64697381,            759.65,    49147365476.65       
02 JAN 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,02 JAN 2026,               1.00,         122167200,            273.35,    33394404120.00     
02 JAN 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,02 JAN 2026,              10.00,          19534800,             23.35,      456137580.00      
02 JAN 2026,AGRITECH,BE,AGRI-TECH (INDIA) LIMITED,Listed    ,02 JAN 2026,              10.00,           5940000,            153.15,      909592200.00  
02 JAN 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,02 JAN 2026,              10.00,          20274115,             40.50,      820696175.20  
02 JAN 2026,AGSTRA,BZ,AGS TRANSACT TECH LTD    ,Listed    ,02 JAN 2026,              10.00,         128433076,              4.15,      532997265.40    
02 JAN 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,02 JAN 2026,              10.00,           5484000,             65.55,      359476200.00      
02 JAN 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,02 JAN 2026,              10.00,          53151500,            154.70,     8222537050.00      
02 JAN 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,24 DEC 2025,              10.00,           5473990,             23.75,      130007262.50    
02 JAN 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,02 JAN 2026,              10.00,          12921000,             47.45,      612843030.00    
02 JAN 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,02 JAN 2026,              10.00,          17291696,            147.55,     2551043910.90   
02 JAN 2026,AHLUCONT,EQ,AHLUWALIA CONT IND LTD   ,Listed    ,02 JAN 2026,               2.00,          66987560,            960.45,    64338202002.00  
02 JAN 2026,AIAENG,EQ,AIA ENGINEERING LIMITED  ,Listed    ,02 JAN 2026,               2.00,          93320370,           4089.70,   381652317189.00    
02 JAN 2026,AIIL,EQ,AUTHUM INVEST & INFRA LTD,Listed    ,02 JAN 2026,               1.00,         169845100,           3045.80,   517314205580.00      
02 JAN 2026,AILIMITED,SM,ABHISHEK INTEGRATIONS LTD,Listed    ,02 JAN 2026,              10.00,           6021570,             39.00,      234841230.00 
02 JAN 2026,AIMTRON,ST,AIMTRON ELECTRONICS LTD  ,Listed    ,02 JAN 2026,              10.00,          20413825,            884.00,    18045821300.00   
02 JAN 2026,AIRAN,EQ,AIRAN LIMITED            ,Listed    ,02 JAN 2026,               2.00,         125020000,             18.30,     2290366400.00     
02 JAN 2026,AIROLAM,EQ,AIRO LAM LIMITED         ,Listed    ,02 JAN 2026,              10.00,          15002000,            101.00,     1515352020.00   
02 JAN 2026,AISL,SM,ANI INTEGRATED SERV LTD. ,Listed    ,02 JAN 2026,              10.00,          11687200,             80.50,      940819600.00      
02 JAN 2026,AJANTPHARM,EQ,AJANTA PHARMA LIMITED    ,Listed    ,02 JAN 2026,               2.00,         124935624,           2949.20,   368460142300.80
02 JAN 2026,AJAXENGG,EQ,AJAX ENGINEERING LIMITED ,Listed    ,02 JAN 2026,               1.00,         114406800,            595.10,    68083486680.00  
02 JAN 2026,AJMERA,EQ,AJMERA REALTY & INF I LTD,Listed    ,02 JAN 2026,              10.00,          39359130,           1001.75,    39428008477.50    
02 JAN 2026,AJOONI,EQ,AJOONI BIOTECH LIMITED   ,Listed    ,02 JAN 2026,               2.00,         172243598,              4.35,      745814779.35    
02 JAN 2026,AKANKSHA,SM,AKANKSHA POWER N INFRA L ,Listed    ,02 JAN 2026,              10.00,          19580520,             68.25,     1336370490.00  
02 JAN 2026,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,02 JAN 2026,              10.00,          16862534,             25.75,      434378875.85     
02 JAN 2026,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,02 JAN 2026,              10.00,          31776576,             12.55,      399113794.55       
02 JAN 2026,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,02 JAN 2026,               2.00,         103205956,              6.80,      700768441.25       
02 JAN 2026,AKIKO,ST,AKIKO GLOBAL SERVICES L  ,Listed    ,02 JAN 2026,              10.00,          10769600,            262.60,     2828096960.00     
02 JAN 2026,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,02 JAN 2026,               1.00,         787468500,              0.50,      393734250.00    
02 JAN 2026,AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED ,Listed    ,02 JAN 2026,              10.00,           8033099,            239.05,     1920472977.95
02 JAN 2026,AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED   ,Listed    ,02 JAN 2026,               5.00,         162697971,              6.50,     1055909831.80
02 JAN 2026,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,02 JAN 2026,               2.00,         157393988,            451.85,    71118473477.80     
02 JAN 2026,AKZOINDIA,EQ,AKZO NOBEL INDIA LIMITED ,Listed    ,02 JAN 2026,              10.00,          45540314,           3211.60,   146257272442.40 
02 JAN 2026,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,02 JAN 2026,               1.00,         271158100,             10.85,     2947488547.00   
02 JAN 2026,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,02 JAN 2026,              10.00,           5707162,            752.70,     4295780837.40
02 JAN 2026,ALCODIS,SM,ALCOKRAFT DISTILLERIE LTD,Listed    ,02 JAN 2026,              10.00,          10250000,             94.40,      967600000.00   
02 JAN 2026,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,02 JAN 2026,               2.00,         256781828,            103.35,    26543537560.35
02 JAN 2026,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,02 JAN 2026,               5.00,          16336840,            847.20,    13840570848.00    
02 JAN 2026,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,02 JAN 2026,               2.00,         122681348,            913.00,   112008070724.00    
02 JAN 2026,ALKALI,EQ,ALKALI METALS LTD        ,Listed    ,02 JAN 2026,              10.00,          10182506,             81.15,      826412186.95    
02 JAN 2026,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,02 JAN 2026,               2.00,         119565000,           5592.50,   668667262500.00     
