MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        95.27,        95.27,        97.60,        95.23,        97.20,                581696802.43,6016616,9663,        97.66,        61.54,NIFTY PSU BANK
N,EQ,PSUBNKIETF,ICICIPRAMC - PSUBANKICI,        86.44,        86.96,        88.40,        86.77,        87.78,                 28665131.28,328516,1320,        88.40,        55.80,ICICI PRUDENTIAL NIFTY PSU BANK ETF
N,EQ,PVTBANIETF,ICICIPRAMC - ICICIBANKP,        29.03,        29.03,        29.20,        29.03,        29.16,                 55055373.17,1888362,1259,        29.44,        22.23,NIFTY PRIVATE BANK INDEX
N,EQ,PVTBANKADD,DSPAMC - DSPPVBKETF,        29.10,        29.18,        29.32,        29.07,        29.27,                   387605.43,13256,97,        29.70,        23.63,DSP NIFTY PRIVATE BANK ETF
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,       110.38,       111.77,       111.78,       111.01,       111.65,                 31799396.46,284956,619,       116.25,        63.52,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY 50 ETF,      2858.02,      2862.00,      2895.00,      2862.00,      2872.49,                  2435092.91,846,117,      2895.00,      2364.00,NIFTY 50
N,EQ,QUAL30IETF,ICICIPRAMC - ICICIQTY30,        22.02,        22.02,        22.16,        21.95,        22.15,                  3220949.22,145692,231,        22.72,        18.00,ICICI PRUDENTIAL NIFTY 200 QUALITY 30 ETF
N,EQ,QUALITY30,KOTAKMAMC - QUALITY30,        21.50,        22.03,        22.03,        21.53,        21.57,                    80457.31,3731,20,        22.09,        19.51,NIFTY200 QUALITY 30 INDEX
N,EQ,SBIBPB,SBIAMC - SBIBPB,        49.95,        50.97,        50.97,        49.95,        50.64,                  1991175.07,39524,506,        53.29,        34.37,BSE PSU BANK INDEX TRI
N,EQ,SBIETFCON,SBIAMC - SBIETFCON,       125.71,       127.48,       127.48,       125.08,       126.03,                   978408.98,7769,187,       133.97,       101.64,NIFTY INDIA CONSUMPTION INDEX
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       418.93,       420.61,       421.21,       417.65,       420.97,                  2135915.06,5091,195,       510.00,       335.00,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       292.98,       296.89,       296.89,       292.98,       294.40,                  1410631.09,4799,136,       299.88,       235.89,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       231.62,       232.50,       232.50,       231.30,       232.50,                   183421.51,790,51,       238.92,       191.50,NIFTY 200 QUALITY 30 INDEX
N,EQ,SBILIQETF,SBIAMC - SBILIQETF,      1020.82,      1021.27,      1021.29,      1021.27,      1021.28,                 90438704.25,88554,54,      1030.00,       984.99,NIFTY 1D RATE INDEX
