Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
30 DEC 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,30 DEC 2025,               5.00,          35286502,            217.20,     7664228234.40 
30 DEC 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,30 DEC 2025,              10.00,          10500000,             50.65,      531930000.00
30 DEC 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,30 DEC 2025,               1.00,         404688480,           1191.60,   482226792768.00    
30 DEC 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,30 DEC 2025,              10.00,         207382685,             16.55,     3432183436.75 
30 DEC 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,30 DEC 2025,              10.00,          11265070,          35290.00,   397544320300.00   
30 DEC 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,30 DEC 2025,               2.00,          18000000,             36.60,      659160000.00    
30 DEC 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,30 DEC 2025,              10.00,          31242338,            331.70,    10363083514.60    
30 DEC 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,30 DEC 2025,               2.00,          46078537,            712.50,    32830957612.50   
30 DEC 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,30 DEC 2025,              10.00,         176119858,             16.85,     2971142004.45  
30 DEC 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,30 DEC 2025,              10.00,          12826800,            101.70,     1304229024.00   
30 DEC 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,30 DEC 2025,              10.00,         433092732,            479.95,   207862856723.40 
30 DEC 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,29 DEC 2025,              10.00,          14172816,             70.60,     1000600809.60    
30 DEC 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,30 DEC 2025,               1.00,         101250000,              8.70,      882900000.00    
30 DEC 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,30 DEC 2025,              10.00,          14138000,            114.10,     1613145800.00  
30 DEC 2025,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,30 DEC 2025,              10.00,          28354303,             68.00,     1928092604.00
30 DEC 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,30 DEC 2025,              10.00,          20946478,            170.15,     3564043231.70     
30 DEC 2025,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,30 DEC 2025,               5.00,          31770376,             48.05,     1526248863.05   
30 DEC 2025,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,30 DEC 2025,              10.00,          91270000,            409.55,    37379628500.00
30 DEC 2025,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,30 DEC 2025,               5.00,         362593869,            368.10,   133470803178.90  
30 DEC 2025,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,30 DEC 2025,               5.00,          90641224,            746.80,    67690866083.20
30 DEC 2025,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,30 DEC 2025,              10.00,           8458495,            386.35,     3267939543.25 
30 DEC 2025,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,30 DEC 2025,              10.00,          14810700,            130.05,     1925835321.00     
30 DEC 2025,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,30 DEC 2025,               5.00,          22600000,             24.40,      551440000.00    
30 DEC 2025,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,30 DEC 2025,              10.00,          79161353,           1466.00,   116050543498.00     
30 DEC 2025,ABAN,BE,ABAN OFFSHORE LTD.       ,Listed    ,30 DEC 2025,               2.00,          58365323,             19.20,     1119446895.15      
30 DEC 2025,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,30 DEC 2025,               2.00,         211908375,           5138.50,  1088891184937.50       
30 DEC 2025,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,30 DEC 2025,              10.00,          21249302,          28680.00,   609429981360.00
30 DEC 2025,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,30 DEC 2025,              10.00,        2612436210,            349.30,   912523968153.00 
30 DEC 2025,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,30 DEC 2025,              10.00,          21963620,            412.10,     9051207802.00    
30 DEC 2025,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,30 DEC 2025,               2.00,         279710151,            593.45,   165993989110.95      
30 DEC 2025,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,30 DEC 2025,              10.00,        1220266696,             76.00,    92764674229.90     
30 DEC 2025,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,30 DEC 2025,              10.00,          18587830,             36.95,      686820318.50 
30 DEC 2025,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,30 DEC 2025,               1.00,         638789360,             18.15,    11587638990.40   
30 DEC 2025,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,30 DEC 2025,              10.00,        1220294773,            124.00,   151292145956.55     
30 DEC 2025,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,30 DEC 2025,              10.00,           9408000,             42.90,      403603200.00
30 DEC 2025,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
30 DEC 2025,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,30 DEC 2025,              10.00,         111695680,           1634.80,   182600097664.00     
30 DEC 2025,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,30 DEC 2025,               5.00,         288658807,            828.75,   239225986301.25   
30 DEC 2025,ABSMARINE,SM,ABS MARINE SERVICES LTD  ,Listed    ,30 DEC 2025,              10.00,          24550000,            192.90,     4735695000.00 
30 DEC 2025,ACC,EQ,ACC LIMITED              ,Listed    ,30 DEC 2025,              10.00,         187787263,           1732.10,   325266318242.30       
30 DEC 2025,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,30 DEC 2025,              10.00,          14926261,           1315.60,    19636988971.60   
30 DEC 2025,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,30 DEC 2025,              10.00,          23989020,            341.00,     8180255820.00 
30 DEC 2025,ACCORD,SM,ACCORD SYNERGY LIMITED   ,Listed    ,26 DEC 2025,              10.00,           3472000,             29.00,      100688000.00    
30 DEC 2025,ACCPL,ST,ACCRETION PHARMA LIMITED ,Listed    ,30 DEC 2025,              10.00,          11116000,             87.00,      967092000.00     
30 DEC 2025,ACCURACY,EQ,ACCURACY SHIPPING LIMITED,Listed    ,30 DEC 2025,               1.00,         150560000,              5.70,      858192000.00  
30 DEC 2025,ACE,EQ,ACTION CONST EQUIP LTD   ,Listed    ,30 DEC 2025,               2.00,         119083196,            925.25,   110181727099.00       
30 DEC 2025,ACEINTEG,EQ,ACE INTEGRATED SOLU. LTD.,Listed    ,30 DEC 2025,              10.00,          10200000,             22.50,      229704000.00  
30 DEC 2025,ACI,EQ,ARCHEAN CHEMICAL IND LTD ,Listed    ,30 DEC 2025,               2.00,         123427682,            548.75,    67730940497.50       
30 DEC 2025,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,30 DEC 2025,              10.00,          92172140,             66.25,     6106404275.00       
30 DEC 2025,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,30 DEC 2025,               2.00,         605087781,            234.35,   141814423232.95 
30 DEC 2025,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,29 DEC 2025,               5.00,          15015016,            178.00,     2672672848.00
30 DEC 2025,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,30 DEC 2025,               5.00,          81868922,           1656.00,   135574934832.00   
30 DEC 2025,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,30 DEC 2025,              10.00,        1201282642,           1024.15,  1230293617804.30
30 DEC 2025,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,30 DEC 2025,               1.00,        1154180729,           2214.70,  2556164060516.30  
30 DEC 2025,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,30 DEC 2025,              10.00,        1622596235,           1007.10,  1634116668268.50
