MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AJ,990SCFL26,SEC RE NCD SR.VI,      1286.31,      1170.30,      1290.00,      1170.30,      1290.00,                    61507.50,50, ,2,      1290.00,      1060.00
N,N0,1025PATE28,PATE 10.25% 2028,     99500.00,    100870.41,    100870.41,    100870.41,    100870.41,                   100870.41,1, ,1,    100870.41,     97500.00
N,N0,115VCCL28,VCCL 11.5% 2028 SR C,    100094.52,    100126.03,    100126.03,    100126.03,    100126.03,                  1702142.51,17, ,5,    100126.03,    100063.61
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,     99547.40,     99800.00,     99800.00,     99800.00,     99800.00,                   798400.00,8, ,5,    100484.93,     99515.07
N,N0,119VCCL26,VEDIKA CREDIT 11.9% 2026,     99999.00,     99999.00,     99999.00,     99999.00,     99999.00,                    99999.00,1, ,1,     99999.00,     90000.00
N,N0,12AFIL27,AFIL 12% 2027 SR 1,      9525.01,      9750.00,      9750.00,      9536.00,      9536.00,                    68036.00,7, ,3,     10000.00,      9301.00
N,N0,12AFIL28,AFIL 12% 2028,      9555.00,      9900.00,      9900.00,      9713.52,      9713.52,                   186714.54,19, ,5,      9900.00,      9400.00
N,N0,12VCCL27,VCCL 12% 2027 SR A,    100000.00,     98500.00,     98500.00,     98500.00,     98500.00,                    98500.00,1, ,1,    102000.00,     95000.00
N,N0,12VCCL29A,VCCL12% 2029,     98802.51,     99980.00,     99980.00,     99980.00,     99980.00,                    99980.00,1, ,1,     99980.00,     95000.00
N,N0,915APSBC30,APSBC 9.15% 2030 STRPP E,    101336.32,    101388.15,    101388.15,    101388.15,    101388.15,                   304164.45,3, ,1,    101388.15,    101166.31
N,N0,915APSBC31,APSBC 9.15% 2031 STRPP F,    101598.00,    101647.51,    101647.51,    101500.00,    101500.00,                  2439392.55,24, ,4,    101647.51,    101452.68
N,N0,915APSBC35,APSBC 9.15% 2035 STRPP J,    102075.25,    102246.80,    102246.80,    102246.80,    102246.80,                   817974.40,8, ,5,    102246.80,    102050.78
N,N0,930APMD27,APMD 9.30% 2027 STRPP A,    101998.00,    101800.00,    101800.00,    101800.00,    101800.00,                   101800.00,1, ,1,    102497.54,    100170.00
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       431.00,       416.00,       430.00,       416.00,       429.40,                    84095.40,196, ,12,       780.00,       400.40
N,N0,975BNAL28,BNAL 9.75% 2028 SR TR 1,    100000.00,      9997.82,      9997.82,      9997.82,      9997.82,                   299934.60,30, ,1,      9997.82,      9997.82
N,N0,985CCSP27,CCSP 9.85% 2027 SR 03,     99933.16,     99710.39,     99710.39,     99710.39,     99710.39,                    99710.39,1, ,1,    101037.58,     99710.39
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       254.00,       257.00,       257.00,       257.00,       257.00,                   363141.00,1413, ,13,       261.00,       240.50
N,N1,1025UCL26A,SEC RE NCD 10.25% SR II,      1080.00,       980.18,       999.00,       955.67,       999.00,                   242127.20,246, ,10,      1196.00,       955.67
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1000.00,      1000.00,      1010.00,      1000.00,      1001.00,                    15120.98,15, ,4,      1035.00,       850.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       313.90,       311.01,       312.75,       311.00,       312.75,                   144942.41,464, ,6,       342.10,       300.08
N,N1,865IHFL27,SEC RE NCD 8.65% SR III,       985.00,       985.00,       985.00,       985.00,       985.00,                     9850.00,10, ,1,      1001.65,       825.20
N,N1,902SCL28,SCL 9.02% SR V,       965.00,       984.00,       984.00,       984.00,       984.00,                     4920.00,5, ,1,      1000.00,       821.85
N,N1,925SCL27B,SCL 9.25% SR II,       985.00,       985.00,       985.00,       985.00,       985.00,                    29550.00,30, ,1,      1020.00,       901.00
N,N1,965SCL26F,SEC RE NCD 9.65% SR I,      1004.60,      1014.48,      1014.48,      1014.48,      1014.48,                    14202.72,14, ,3,      1099.00,       902.00
N,N1,971SCL29B,SEC RE NCD 9.71% SR VIII,       955.00,       955.01,       955.01,       955.01,       955.01,                    13370.14,14, ,1,       977.00,       900.30
N,N1,971SCL29T,SCL 9.71% 2029 SR VIII,       979.90,       979.90,       979.90,       979.90,       979.90,                    48995.00,50, ,1,       979.90,       901.20
N,N1,IHFL261224,SEC RE NCD SR II,      1048.01,      1050.00,      1080.00,      1050.00,      1065.78,                  1130913.68,1067, ,9,      1080.00,       925.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1154.90,      1159.90,      1159.90,      1148.10,      1149.33,                   298789.35,260, ,10,      1174.00,      1085.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       313.93,       311.00,       311.00,       311.00,       311.00,                      311.00,1, ,1,       333.71,       302.51
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1052.00,      1045.01,      1050.90,      1045.01,      1050.69,                   603462.00,575, ,6,      1120.70,      1028.60
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1098.03,      1100.00,      1100.00,      1098.11,      1099.98,                  2889988.71,2629, ,9,      1140.00,      1040.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1051.00,      1051.00,      1053.00,      1051.00,      1053.00,                   135831.00,129, ,6,      1198.79,      1029.00
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       991.00,       950.00,       991.00,       950.00,       991.00,                    27697.06,28, ,4,      1025.00,       950.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,       990.00,      1009.54,      1009.54,      1009.54,      1009.54,                    49467.46,49, ,1,      1085.00,       950.40
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       425.00,       424.96,       424.96,       420.05,       420.12,                   110466.55,262, ,8,       483.86,       404.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       256.00,       256.00,       256.00,       256.00,       256.00,                    10752.00,42, ,1,       269.00,       211.00
N,N3,M&MFIN,UNSECURED NCD,      2265.00,      2265.01,      2287.30,      2265.01,      2278.64,                   234700.30,103, ,2,      2296.80,      1823.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,      1005.33,      1005.00,      1005.50,      1005.00,      1005.00,                    91465.00,91, ,4,      1199.00,       945.00
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1020.01,      1021.10,      1027.99,      1020.01,      1027.99,                    76901.93,75, ,4,      1079.50,       960.10
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1312.00,      1310.00,      1320.00,      1310.00,      1320.00,                    59150.00,45, ,2,      1348.00,      1216.00
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1017.00,      1020.00,      1020.00,      1020.00,      1020.00,                   357000.00,350, ,3,      1084.10,       912.00
N,N4,965AEL27,SEC RE NCD 9.65% SR IV,      1043.99,      1044.90,      1044.90,      1043.00,      1043.00,                   231886.98,222, ,5,      1130.09,       984.70
N,N5,1050ISFL28,SEC RE NCD 10.50% SR 6,       999.20,       988.20,       995.00,       988.00,       995.00,                   172934.00,175, ,3,      1099.00,       932.00
N,N5,10CAGL27,SEC RE NCD 10% SR. V,      1019.00,      1019.00,      1019.00,      1010.10,      1010.10,                   243424.80,240, ,7,      1089.99,       990.00
N,N5,830PFCL27,8.30% TAX FREE NCD,      1050.00,      1055.00,      1055.00,      1051.00,      1051.00,                    32625.00,31, ,6,      1119.90,      1029.21
N,N5,850NHAI29,8.50% TAX FREE TR I S IIA,      1150.00,      1164.90,      1164.90,      1164.90,      1164.90,                    40771.50,35, ,1,      1205.00,      1083.85
N,N5,879NHPC28,8.79% SEC RED BOND S2B,      1132.45,      1167.00,      1167.00,      1166.76,      1166.76,                   233374.68,200, ,20,      1198.50,      1080.11
N,N5,957NIDO26,SEC RED NCD 9.57% SR. V,       988.30,      1000.00,      1000.00,       995.00,       995.00,                   100995.00,101, ,2,      1029.59,       890.00
N,N5,96IIFL28,UNSEC RE NCD 9.60% SR.II,       995.55,       996.00,       999.00,       995.99,       997.95,                  1329868.01,1334, ,23,      1000.00,       940.00
N,N6,10NIDO26,SEC RED NCD 10% SR. VI,      1030.50,      1042.00,      1042.00,      1033.02,      1033.02,                   254807.18,245, ,5,      1083.00,       973.20
N,N6,875NHAI29,8.75% TAX FREE TR I S IIB,      1190.12,      1192.00,      1192.00,      1188.00,      1188.00,                   131080.90,110, ,3,      1298.00,      1113.50
N,N6,891NTPC33,8.91%S-R-NCD SERIES 3B,      1226.20,      1249.90,      1249.90,      1230.00,      1230.00,                  1567232.90,1274, ,9,      1338.00,      1208.60
N,N6,892NHPC33,8.92% SEC RED BOND S3B,      1297.02,      1364.99,      1364.99,      1315.00,      1315.00,                   319113.11,235, ,6,      1520.00,      1210.00
N,N6,893NHB29,NHB 8.93 NCD TR II SR 2 B,      5801.25,      5823.00,      5823.00,      5823.00,      5823.00,                     5823.00,1, ,1,      6340.00,      5445.01
N,N6,901NHB34,BOND 9.01%PA TF TR-I S 3B,      6282.90,      6338.60,      6399.00,      6271.00,      6272.18,                  3745124.70,592, ,43,      7390.00,      6170.00
N,N6,956AEL29,SEC RE NCD 9.56% SR VI,      1055.00,      1058.00,      1058.00,      1058.00,      1058.00,                   634800.00,600, ,24,      1133.10,      1000.00
N,N6,ABCL28,ABCL SR IV,      1170.00,      1132.00,      1132.00,      1132.00,      1132.00,                   113200.00,100, ,1,      1170.00,      1065.00
N,N6,IIFLZC28C,UNSEC RE NCD 0% SR.III,      1490.00,      1480.20,      1480.20,      1480.20,      1480.20,                   444060.00,300, ,4,      1575.00,      1161.00
N,N6,SCL01825,SCL 0% 2027 SR III,      1006.00,      1006.00,      1006.00,      1006.00,      1006.00,                    20120.00,20, ,2,      1006.00,       911.62
N,N7,1050NFL26,SEC RE NCD 10.50% SR.IV,      1001.00,      1003.83,      1003.83,      1003.83,      1003.83,                     9034.47,9, ,1,      1200.00,       970.14
N,N7,774IREDA31,7.74% TAX FREE NCD,      1165.00,      1170.00,      1170.00,      1165.00,      1165.00,                   431100.00,370, ,4,      1184.90,      1085.00
N,N7,898LTF29,SERENCD 8.98% SR.VI OP2,      1089.00,      1085.00,      1110.00,      1085.00,      1088.00,                   170766.00,157, ,5,      1182.00,      1030.00
N,N7,97MOFSL34,SEC RE NCD 9.70% SR VIII,      1130.00,      1129.00,      1129.00,      1129.00,      1129.00,                    11290.00,10, ,1,      1180.40,      1000.00
