GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ABB INDIA LIMITED,      5205.50,      5176.50,0.56
G,INDIAN OIL CORP LTD,       166.79,       165.88,0.55
G,BAJAJ HOUSING FINANCE LTD,        96.62,        96.11,0.53
G,HINDUSTAN AERONAUTICS LTD,      4417.80,      4397.90,0.45
G,VARUN BEVERAGES LIMITED,       493.80,       491.75,0.42
G,CANARA BANK,       154.87,       154.24,0.41
G,SIEMENS ENERGY INDIA LTD,      2546.70,      2539.00,0.30
G,SIEMENS LTD,      3097.70,      3091.30,0.21
G,ZYDUS LIFESCIENCES LTD,       916.90,       915.05,0.20
G,AVENUE SUPERMARTS LIMITED,      3719.80,      3716.10,0.10
 , , , , 
L,HYUNDAI MOTOR INDIA LTD,      2267.90,      2310.80,-1.86
L,UNITED SPIRITS LIMITED,      1381.60,      1404.20,-1.61
L,BAJAJ HOLDINGS & INVS LTD,     11181.00,     11342.00,-1.42
L,LTIMINDTREE LIMITED,      6067.00,      6112.00,-0.74
L,GODREJ CONSUMER PRODUCTS,      1235.20,      1243.40,-0.66
L,BRITANNIA INDUSTRIES LTD,      5984.50,      6009.50,-0.42
L,ADANI POWER LTD,       148.17,       148.76,-0.40
L,SAMVRDHNA MTHRSN INTL LTD,       122.04,       122.52,-0.39
L,BHARAT PETROLEUM CORP  LT,       381.45,       381.50,-0.01
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,SEC RE NCD 9.48% SR V,       444.00,       370.00,20.00
G,ESPRIT STONES LIMITED,        64.80,        54.00,20.00
G,ISF 9.50% 2027,     54000.00,     45000.01,20.00
G,SCL 9.25% 2030 SR IX,      1199.98,       999.99,20.00
G,ROBUST HOTELS LIMITED,       222.08,       185.07,20.00
G,SCL 8.88% 2028 SR V,      1181.85,       984.90,20.00
G,SEC RE NCD 9.80% SR.VII,       853.00,       714.00,19.47
G,TFB 7.37% 2035 SR. 3A,      1357.00,      1139.00,19.14
G,BOND 8.46% TAX FREE S2A,      1299.90,      1099.99,18.17
G,SHALIM PAINTS LTD,        75.37,        64.54,16.78
G,BPL LTD,        66.71,        58.77,13.51
G,SILVER TOUCH TECHNO LTD,      1248.50,      1104.40,13.05
G,SHIVALIC POWER CONTROL L,       112.25,        99.60,12.70
G,KRITI NUTRIENTS LIMITED,        77.20,        68.87,12.10
G,INFOBEANS TECHNO. LTD.,       905.70,       811.10,11.66
G,SJVN LTD,        83.04,        74.74,11.11
G,REMUS PHARMACEUTICALS L,       768.90,       693.35,10.90
G,IDBI BANK LIMITED,       114.73,       103.76,10.57
G,PRANIK LOGISTICS LIMITED,        61.35,        55.50,10.54
G,JAY BHARAT MARUTI LTD,       100.42,        91.02,10.33
G,SONU INFRATECH LIMITED,        79.20,        72.00,10.00
G,LAXMI GOLDORNA HOUSE LTD,       324.60,       295.10,10.00
G,K2 INFRAGEN LIMITED,        75.55,        68.70,9.97
G,KSR FOOTWEAR LIMITED,        23.83,        21.67,9.97
G,LASA SUPERGENERICS LTD,        11.41,        10.38,9.92
G,LINC LIMITED,       117.33,       106.95,9.71
G,KALPATARU LIMITED,       380.75,       347.25,9.65
G,TRANS & RECTI. LTD,       336.40,       307.90,9.26
G,NATURAL CAPSULES LIMITED,       197.67,       181.01,9.20
G,SEC RE NCD 10.25% SR XII,       900.00,       825.25,9.06
G,OLA ELECTRIC MOBILITY LTD,        40.89,        37.52,8.98
G,MM FORGINGS LTD,       394.45,       362.25,8.89
G,HCL INFOSYSTEMS LTD,        14.45,        13.28,8.81
G,SHREE OSFM E-MOBILITY LTD,        85.00,        78.25,8.63
G,SECMARK CONSULTANCY LTD,       123.43,       113.70,8.56
G,NIBE LIMITED,      1236.80,      1141.70,8.33
G,SANDUR MANG & IRON ORES L,       264.71,       244.44,8.29
G,OMAX AUTOS LTD,       107.79,        99.78,8.03
G,VIKAS LIFECARE LIMITED,         1.93,         1.79,7.82
G,TENNECO CLEAN AIR INDIA L,       543.95,       505.00,7.71
G,LYKA LABS LTD,        82.39,        76.59,7.57
G,MINDTECK (INDIA) LIMITED,       220.31,       204.84,7.55
G,ALLCARGO LOGISTICS LTD,        11.44,        10.64,7.52
G,SANDHAR TECHNOLOGIES LTD,       582.70,       542.00,7.51
G,IFB AGRO INDUSTRIES LTD,      1593.60,      1483.80,7.40
G,VERANDA LEARNING SOL LTD,       217.46,       202.52,7.38
G,SWASTIK PIPE LIMITED,        24.65,        23.00,7.17
G,SASTASUNDAR VENTURES LTD,       315.75,       294.90,7.07
G,KAUSHALYA LOGISTICS LTD,        51.40,        48.05,6.97
G,GENERIC ENG CONS PROJ LTD,        43.80,        40.97,6.91
G,NK INDUSTRIES LTD,        69.22,        64.78,6.85
G,GAJANAND INTERNATIONAL L,        10.20,         9.55,6.81
G,ASIAN HOTELS (EAST) LTD,       147.53,       138.33,6.65
G,PARAS PETROFILS LTD.,         1.95,         1.83,6.56
G,JBM AUTO LIMITED,       666.60,       625.65,6.55
G,SADHAV SHIPPING LIMITED,       110.80,       104.00,6.54
G,JYOTI STRUCTURES LTD,        10.18,         9.56,6.49
G,VARVEE GLOBAL LIMITED,       152.23,       143.12,6.37
G,THE BYKE HOSPITALITY LTD,        53.74,        50.55,6.31
G,VIVIANA POWER TECH LTD,       764.05,       718.85,6.29
G,XTGLOBAL INFOTECH LIMITED,        35.68,        33.57,6.29
G,BANDHANAMC - SILVERBND,       240.05,       225.87,6.28
G,CARRARO INDIA LIMITED,       556.40,       523.75,6.23
G,RAMA PHOSPHATES LIMITED,       170.79,       160.78,6.23
G,NLC INDIA LIMITED,       272.00,       256.15,6.19
G,SERVICE CARE LIMITED,        46.75,        44.05,6.13
G,BHANDARI HOSIERY EXP LTD,         4.24,         4.00,6.00
G,SANSERA ENGINEERING LTD,      1871.00,      1765.50,5.98
G,HARDWYN INDIA LIMITED,        17.76,        16.76,5.97
G,HINDUSTAN COMPOSITES LTD.,       451.10,       425.75,5.95
G,ENSER COMMUNICATIONS LTD,        16.95,        16.00,5.94
G,IGARASHI MOTORS INDIA LTD,       464.60,       438.95,5.84
G,INDIAN PHOSPHATE LIMITED,        66.90,        63.25,5.77
G,KSH INTERNATIONAL LIMITED,       373.55,       353.30,5.73
G,ANANT RAJ LIMITED,       584.05,       552.50,5.71
G,BAAZAR STYLE RETAIL LTD,       285.70,       270.40,5.66
G,ARIES AGRO LTD.,       345.45,       327.15,5.59
G,MODISON LIMITED,       160.41,       152.07,5.48
G,TATA CAPITAL LIMITED,       359.10,       340.45,5.48
G,TORRENT POWER LTD,      1399.40,      1327.00,5.46
G,BETA DRUGS LIMITED,      1629.40,      1545.40,5.44
G,BHADORA INDUSTRIES LTD,        77.70,        73.70,5.43
G,UNILEX COLOURS AND CHEM L,        39.00,        37.00,5.41
G,FEDERAL-MOGUL GOETZE (IND,       488.90,       464.10,5.34
G,JAYASWAL NECO INDUSTR LTD,        91.56,        86.93,5.33
G,LUMAX INDUSTRIES LTD,      5341.50,      5071.50,5.32
G,INVENTURE GRO & SEC LTD,         1.20,         1.14,5.26
G,IDENTICAL BRAINS STUDIO L,        23.10,        21.95,5.24
G,INDIAN RENEWABLE ENERGY,       146.64,       139.36,5.22
G,BLUE WATER LOGISTICS LTD,       149.80,       142.40,5.20
G,SKIPPER LIMITED,       452.85,       430.55,5.18
G,NHPC LTD,        83.62,        79.56,5.10
G,PUNJAB & SIND BANK,        29.39,        27.97,5.08
G,TVS HOLDINGS LIMITED,     14626.00,     13921.00,5.06
G,PIRAMAL PHARMA LIMITED,       178.48,       169.88,5.06
G,BLUESTONE JEWEL LFSTL LTD,       500.75,       476.65,5.06
G,SEC RE NCD 9.25% SR.VII,      1051.15,      1000.72,5.04
G,RAVI KUMAR DIST. LTD.,        24.24,        23.08,5.03
G,AETHER INDUSTRIES LIMITED,       944.10,       898.95,5.02
G,GOI LOAN 8.28% 2027,       115.50,       110.00,5.00
G,CEDAAR TEXTILE LIMITED,        60.90,        58.00,5.00
G,PRAKASH STEELAGE LTD,         5.67,         5.40,5.00
G,MAGSON RETAIL AND DIST L,       130.20,       124.00,5.00
G,GK ENERGY LIMITED,       162.14,       154.42,5.00
G,IWARE SUPPLYCHAIN SER LTD,       209.00,       199.05,5.00
