SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
HINDUSTAN COPPER LTD,       487.45,       533.35,153331407,              79486422735.75
HDFC BANK LTD,       991.70,       990.90,33155849,              32796279701.40
NIPPONAMC - NETFSILVER,       218.25,       218.21,122080395,              26393974423.79
ICICI BANK LTD.,      1343.30,      1342.50,18621277,              24988603546.50
MARUTI SUZUKI INDIA LTD.,     16542.00,     16647.00,1055843,              17589067242.00
SHRIRAM FINANCE LIMITED,       955.50,       979.40,17757531,              17340531245.60
HERO MOTOCORP LIMITED,      5566.00,      5711.00,2980473,              16981640240.00
KPI GREEN ENERGY LIMITED,       404.85,       474.20,35794668,              16587709148.35
DIXON TECHNO (INDIA) LTD,     11857.00,     11767.00,1389580,              16391731609.00
INFOSYS LIMITED,      1644.70,      1621.60,9395937,              15275131268.30
BHARAT ELECTRONICS LTD,       393.25,       393.30,37726382,              14818232737.45
BHARTI AIRTEL LIMITED,      2081.60,      2099.80,6983390,              14653574322.60
STATE BANK OF INDIA,       965.05,       973.45,15030644,              14609677358.80
EICHER MOTORS LTD,      7272.00,      7192.50,1976062,              14265784318.00
RELIANCE INDUSTRIES LTD,      1545.60,      1539.80,8815884,              13604745435.00
COFORGE LIMITED,      1683.30,      1654.90,8204848,              13558562187.00
HINDALCO  INDUSTRIES  LTD,       865.00,       884.15,15280248,              13475794493.15
ASIAN PAINTS LIMITED,      2775.40,      2758.30,4833527,              13366391317.30
DIVI S LABORATORIES LTD,      6390.50,      6360.50,1927570,              12243564489.50
KOTAK MAHINDRA BANK LTD,      2158.60,      2152.70,5672138,              12203430405.60
MAX HEALTHCARE INS LTD,      1064.10,      1040.80,11581446,              12052111156.20
CANARA BANK,       150.92,       154.03,76140412,              11666618283.36
BAJAJ FINSERV LTD.,      2012.10,      2026.40,5450560,              10970334280.50
ORIENT TECHNOLOGIES LTD,       330.90,       395.25,28207749,              10669154031.35
ETERNAL LIMITED,       282.85,       277.10,37816382,              10491678696.55
