SYMBOL,SERIES,SECURITY,HIGH/LOW
828GS2027,GS,GOI LOAN 8.28% 2027,H
925SCL30A,NH,SCL 9.25% 2030 SR IX,H
948SCL26A,NN,SEC RE NCD 9.48% SR V,H
AARADHYA,ST,AARADHYA DISPOSAL INDUS L,H
ABINFRA,EQ,A B INFRABUILD LIMITED,H
AMEYA,SM,AMEYA PRECISION ENG LTD,H
ARVINDPORT,SM,ARVIND PORT AND INFRA LTD,H
CADSYS,SM,CADSYS (INDIA) LIMITED,H
CAPTRUST,EQ,CAPITAL TRUST LIMITED,H
CBAZAAR,ST,NET AVENUE TECHNOLOGIES L,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CEDAAR,SM,CEDAAR TEXTILE LIMITED,H
DENEERS,SM,DE NEERS TOOLS LIMITED,H
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,H
DIGJAMLMTD,EQ,DIGJAM LTD,H
E2ERAIL,ST,E TO E TRANS INFRA LTD,H
ENERGYDEV,BE,ENERGY DEVE. CO.LTD,H
ESPRIT,SM,ESPRIT STONES LIMITED,H
EXIMROUTES,ST,EXIM ROUTES LIMITED,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FELDVR,BZ,FUTURE ENTERPRISES LTD,H
GKENERGY,EQ,GK ENERGY LIMITED,H
GURUNANAK,SM,GURUNANAK AGRICULTUR IN L,H
HITECHGEAR,BE,THE HI-TECH GEARS LIMITED,H
HOLMARC,SM,HOLMARC OPTO MECHATRO L,H
HRHNEXT,SM,HRH NEXT SERVICES LIMITED,H
IWARE,ST,IWARE SUPPLYCHAIN SER LTD,H
K2INFRA,SM,K2 INFRAGEN LIMITED,H
KALPATARU,EQ,KALPATARU LIMITED,H
KAVDEFENCE,BE,KAVVERI DFS & WIR TEC LTD,H
KSR,EQ,KSR FOOTWEAR LIMITED,H
LANCORHOL,BE,LANCOR HOLDINGS LIMITED,H
LASA,EQ,LASA SUPERGENERICS LTD,H
LGHL,EQ,LAXMI GOLDORNA HOUSE LTD,H
LIQUIDBETF,EQ,BFAM - LIQUIDBETF,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAGSON,SM,MAGSON RETAIL AND DIST L,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MANAV,ST,MANAV INFRA PROJECTS LTD,H
MANGALAM,EQ,MANGALAM DRUG & CHEM LTD,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MCL,EQ,MADHAV COPPER LIMITED,H
MEDIORG,SM,MEDICAMEN ORGANICS LTD,H
MEGAFLEX,ST,MEGA FLEX PLASTICS LTD,H
MEGASOFT,BE,MEGASOFT LTD,H
NATCAPSUQ,EQ,NATURAL CAPSULES LIMITED,H
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,H
PALREDTEC,EQ,PALRED TECHNOLOGIES LTD,H
PENTAGON,ST,PENTAGON RUBBER LIMITED,H
RHL,EQ,ROBUST HOTELS LIMITED,H
SABTNL,BE,SRI ADHIKARI BRO TELE N L,H
SANCO,BZ,SANCO INDUSTRIES LIMITED,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SATECH,ST,S A TECH SOFTWARE INDIA L,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SEYAIND,BE,SEYA INDUSTRIES LIMITED,H
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,H
SHUBHLAXMI,ST,SHUBHLAXMI JEWEL ART LTD,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SONUINFRA,SM,SONU INFRATECH LIMITED,H
STALLION,BE,STALLION IND FLUOROCHEM L,H
SUNLITE,ST,SUNLITE RECYCLING IND LTD,H
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,H
SVPGLOB,BE,SVP GLOBAL TEXTILES LTD,H
SWANDEF,BE,SWAN DEFENCE N HEVY IND L,H
TANKUP,ST,TANKUP ENGINEERS LIMITED,H
TAURIAN,ST,TAURIAN MPS LIMITED,H
TCIFINANCE,BE,TCIFINANCELTD-ROLL SETT,H
TEMBO,EQ,TEMBO GLOBAL IND LTD,H
TERASOFT,BE,TERA SOFTWARE LIMITED,H
TPHQ,EQ,TEAMO PRODUCTIONS HQ LTD,H
TRU,EQ,TRUCAP FINANCE LIMITED,H
UNITEDPOLY,BE,UNITED POLYFAB GUJ. LTD.,H
URAVIDEF,EQ,URAVI DEFENCE &TECH LTD,H
VCL,BE,VAXTEX COTFAB LIMITED,H
VGL,EQ,VARVEE GLOBAL LIMITED,H
VHLTD,BE,VICEROY HOTELS LIMITED,H
VILINBIO,SM,VILIN BIO MED LIMITED,H
VIRINCHI,EQ,VIRINCHI LIMITED,H
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,L
AAATECH,BE,AAA TECHNOLOGIES LIMITED,L
AGUL,SM,A G UNIVERSAL LIMITED,L
AISL,SM,ANI INTEGRATED SERV LTD.,L
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,L
AURIGROW,BE,AURI GROW INDIA LIMITED,L
AXITA,BE,AXITA COTTON LIMITED,L
CUPID,EQ,CUPID LIMITED,L
DCMSRIND,BE,DCM SHRIRAM IND LTD,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
DHARARAIL,ST,DHARA RAIL PROJECTS LTD,L
EMBDL,BE,EMBASSY DEVELOPMENTS LTD,L
EPWINDIA,ST,EPW INDIA LIMITED,L
EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,L
FEL,BZ,FUTURE ENTERPRISES LTD,L
FELDVR,BZ,FUTURE ENTERPRISES LTD,L
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,L
GOLDSTAR,SM,GOLDSTAR POWER LIMITED,L
GRAPHISAD,SM,GRAPHISADS LIMITED,L
HOACFOODS,ST,HOAC FOODS INDIA LIMITED,L
INDOTHAI,EQ,INDO THAI SEC LTD,L
JEYYAM,ST,JEYYAM GLOBAL FOODS LTD,L
KESORAMIND,BE,KESORAM INDUSTRIES LTD,L
LIQUIDBETF,EQ,BFAM - LIQUIDBETF,L
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,L
MANAV,ST,MANAV INFRA PROJECTS LTD,L
MARC,ST,MARC TECHNOCRATS LIMITED,L
MARINETRAN,ST,MARINETRANS INDIA LIMITED,L
MAXVOLT,ST,MAXVOLT ENERGY INDUS L,L
MEP,BZ,MEP INFRA. DEVELOPERS LTD,L
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,L
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,L
OSWALSEEDS,EQ,SHREEOSWAL S AND CHE LTD,L
PROLIFE,SM,PROLIFE INDUSTRIES LTD,L
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,L
ROCKINGDCE,ST,ROCKINGDEALS CIRCU ECO L,L
SACHEEROME,ST,SACHEEROME LIMITED,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SHRENIK,BZ,SHRENIK LIMITED,L
SHRIKANHA,SM,SHRI KANHA STAINLESS LTD,L
SHYAMDHANI,ST,SHYAM DHANI INDUSTRIES L,L
SOCL,ST,SUNDREX OIL COMPANY LTD,L
TFCILTD,EQ,TOURISM FINANCE CORP. OF,L
TVVISION,BE,TV VISION LIMITED,L
VINEET-RE,BE,VINEET LABORATORIES LTD,L
VIVIMEDLAB,EQ,VIVIMED LABS LIMITED,L
VOLERCAR,ST,VOLER CAR LIMITED,L
WAAREEINDO,EQ,INDOSOLAR LIMITED,L
