MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
G,ST,ASLIND,ASL INDUSTRIES LIMITED,       116.25,       113.95,       113.95,       113.95,       113.95,                   227900.00,2000, ,       118.60,        29.00
N,SM,ASPIRE,ASPIRE & INNOVATIVE ADV L,        16.40,        16.30,        16.30,        15.90,        15.95,                   225700.00,14000, ,        47.45,        15.90
N,SM,ATCENERGY,ATC ENERGIES SYSTEM LTD,        36.95,        34.20,        36.50,        34.20,        36.00,                   731220.00,20400, ,       115.35,        34.20
N,SM,ATMASTCO,ATMASTCO LIMITED,       137.25,       137.25,       139.30,       129.15,       130.50,                  2686600.00,20400, ,       300.80,       127.00
N,SM,AUROIMPEX,AURO IMPEX & CHEMICALS L,        40.00,        40.00,        40.00,        40.00,        40.00,                   192000.00,4800, ,        86.50,        35.75
N,SM,APS,AUSTRALIAN PREM SOLAR I L,       364.00,       369.95,       373.95,       365.00,       365.25,                  3945875.00,10750, ,       654.00,       345.00
N,SM,AVIANSH,AVI ANSH TEXTILE LIMITED,       114.75,       115.25,       115.25,       113.00,       115.00,                   572250.00,5000, ,       122.00,        93.80
N,SM,AVPINFRA,AVP INFRACON LIMITED,       120.35,       122.00,       122.00,       118.50,       118.85,                  2014800.00,16800, ,       264.30,       118.45
N,SM,BAGDIGITAL,B.A.G.CONVERGENCE LIMITED,       119.50,       120.50,       122.80,       120.50,       120.70,                  3297600.00,27200, ,       139.00,        95.75
N,SM,BABAFP,BABA FOOD PROCESSING,        32.05,        32.05,        32.05,        32.05,        32.05,                    51280.00,1600, ,        63.50,        29.55
N,SM,BAHETI,BAHETI RECYCLING IND LTD,       606.75,       608.00,       609.00,       590.00,       591.65,                 14390775.00,24000, ,       649.90,       328.10
N,SM,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       146.35,       145.00,       145.00,       144.00,       144.00,                   433500.00,3000, ,       184.70,        72.60
N,SM,BARFLEX,BARFLEX POLYFILMS LIMITED,        75.00,        75.00,        75.50,        75.00,        75.50,                   451000.00,6000, ,        82.40,        41.15
N,SM,BASILIC,BASILIC FLY STUDIO LTD,       334.50,       335.45,       337.00,       329.15,       335.00,                  2803020.00,8400, ,       509.80,       223.15
N,SM,BAWEJA,BAWEJA STUDIOS LIMITED,        39.00,        39.15,        39.15,        39.00,        39.00,                   250080.00,6400, ,        79.00,        37.25
N,ST,BEACON,BEACON TRUSTEESHIP LTD,        85.95,        83.10,        87.00,        83.05,        86.75,                  2625100.00,31000, ,       104.90,        50.00
N,SM,BEWLTD,BEW ENGINEERING LIMITED,       119.95,       119.90,       120.95,       118.90,       120.45,                   961325.00,8000, ,       272.60,       110.40
N,SM,BHADORA,BHADORA INDUSTRIES LTD,        78.00,        77.50,        79.00,        76.00,        77.10,                   556320.00,7200, ,       128.85,        71.05
N,SM,BIKEWO,BIKEWO GREEN TECH LIMITED,        21.85,        21.85,        22.25,        21.30,        21.40,                  1891200.00,88000, ,        30.95,        13.65
N,SM,BLUEPEBBLE,BLUE PEBBLE LIMITED,       114.60,       115.00,       119.00,       113.80,       114.25,                  1522140.00,13200, ,       370.85,        88.00
N,SM,BLUEWATER,BLUE WATER LOGISTICS LTD,       151.50,       144.60,       145.60,       142.00,       144.20,                  5442450.00,38000, ,       187.20,       125.40
N,SM,BMETRICS,BOMBAY METRICS S C LTD,        41.65,        41.65,        42.45,        41.65,        42.45,                   100600.00,2400, ,        63.20,        38.10
N,SM,BRACEPORT,BRACE PORT LOGISTICS LTD,        96.15,        95.90,        95.90,        90.55,        92.95,                   447040.00,4800, ,       111.00,        69.00
N,SM,BULKCORP,BULKCORP INTERNATIONAL L,        56.00,        56.00,        58.80,        56.00,        56.00,                   272160.00,4800, ,       106.80,        50.55
N,SM,CPS,C P S SHAPERS LIMITED,      1092.00,      1041.00,      1146.60,      1041.00,      1146.60,                  3397545.00,3000, ,      1146.60,       412.00
N,SM,C2C,C2C ADVANCED SYSTEMS LTD,       511.25,       505.40,       510.00,       490.00,       498.50,                 23322435.00,46500, ,       954.00,       250.15
N,SM,CADSYS,CADSYS (INDIA) LIMITED,        44.45,        46.60,        46.65,        46.50,        46.65,                    93175.00,2000, ,       120.05,        35.60
N,SM,CANARYS,CANARYS AUTOMATIONS LTD,        29.35,        29.35,        29.90,        29.20,        29.80,                   943400.00,32000, ,        39.85,        23.50
N,SM,CUDML,CASH UR DRIVE MARKETING L,       134.90,       133.00,       133.00,       132.50,       132.50,                  1861350.00,14000, ,       166.50,       130.00
N,SM,CEDAAR,CEDAAR TEXTILE LIMITED,        60.05,        60.00,        60.00,        57.90,        58.00,                  1284700.00,22000, ,       136.30,        57.90
N,SM,CELLPOINT,CELL POINT (INDIA) LTD,        16.75,        16.80,        17.00,        16.80,        17.00,                    40560.00,2400, ,        28.25,        15.60
N,SM,CELLECOR,CELLECOR GADGETS LIMITED,        28.80,        29.00,        30.30,        28.55,        28.95,                  8968650.00,306000, ,        81.50,        25.75
N,SM,CMNL,CHAMAN METALLICS LIMITED,       123.95,       118.20,       124.00,       118.15,       118.50,                  1177162.50,9750, ,       183.90,       111.60
N,SM,CHAMUNDA,CHAMUNDA ELECTRICAL LTD,        51.85,        51.70,        51.70,        50.00,        51.10,                   764400.00,15000, ,        71.00,        36.10
N,SM,CHANDAN,CHANDAN HEALTHCARE LTD,       319.00,       319.00,       325.00,       315.25,       316.75,                  5097120.00,16000, ,       358.00,       140.00
N,SM,CHAVDA,CHAVDA INFRA LIMITED,       123.20,       118.50,       122.50,       118.50,       119.25,                  2515600.00,21000, ,       186.00,        82.10
